20201021 11:01:28 Ganti pin condition : EDC serial port already open
20201021 11:01:28 Ganti pin condition : EDC serial port already open
20201021 11:01:28 Ganti pin condition : EDC serial port already open
20201021 11:01:28 Ganti pin condition : EDC serial port already open
20201021 11:01:28 Ganti pin condition : EDC serial port already open
20201021 11:01:29 Ganti pin condition : EDC serial port already open
20201021 11:01:29 Ganti pin condition : EDC serial port already open
20201021 11:01:29 Ganti pin condition : EDC serial port already open
20201021 11:01:29 Ganti pin condition : EDC serial port already open
20201021 11:01:29 Ganti pin condition : EDC serial port already open
20201021 11:01:29 Ganti pin condition : EDC serial port already open
20201021 11:01:30 Ganti pin condition : EDC serial port already open
20201021 11:01:30 Ganti pin condition : EDC serial port already open
20201021 11:01:30 Ganti pin condition : EDC serial port already open
20201021 11:01:30 Ganti pin condition : EDC serial port already open
20201021 11:01:30 Ganti pin condition : EDC serial port already open
20201021 11:01:30 Ganti pin condition : EDC serial port already open
20201021 11:01:31 Ganti pin condition : EDC serial port already open
20201021 11:01:31 Ganti pin condition : EDC serial port already open
20201021 11:01:31 Ganti pin condition : EDC serial port already open
20201021 11:01:31 Ganti pin condition : EDC serial port already open
20201021 11:01:31 Ganti pin condition : EDC serial port already open
20201021 11:01:31 Ganti pin condition : EDC serial port already open
20201021 11:01:31 Ganti pin condition : EDC serial port already open
20201021 11:01:32 Ganti pin condition : EDC serial port already open
20201021 11:01:32 Ganti pin condition : EDC serial port already open
20201021 11:01:32 Ganti pin condition : EDC serial port already open
20201021 11:01:32 Ganti pin condition : EDC serial port already open
20201021 11:01:32 Ganti pin condition : EDC serial port already open
20201021 11:01:32 Ganti pin condition : EDC serial port already open
20201021 11:01:33 Ganti pin condition : EDC serial port already open
20201021 11:01:33 Ganti pin condition : EDC serial port already open
20201021 11:01:33 Ganti pin condition : EDC serial port already open
20201021 11:01:33 Ganti pin condition : EDC serial port already open
20201021 11:01:33 Ganti pin condition : EDC serial port already open
20201021 11:01:33 Ganti pin condition : EDC serial port already open
20201021 11:01:33 Ganti pin condition : EDC serial port already open
20201021 11:01:34 Ganti pin condition : EDC serial port already open
20201021 11:01:34 Ganti pin condition : EDC serial port already open
20201021 11:01:34 Ganti pin condition : EDC serial port already open
20201021 11:01:34 Ganti pin condition : EDC serial port already open
20201021 11:01:34 Ganti pin condition : EDC serial port already open
20201021 11:01:34 Ganti pin condition : EDC serial port already open
20201021 11:01:35 Ganti pin condition : EDC serial port already open
20201021 11:01:35 Ganti pin condition : EDC serial port already open
20201021 11:01:35 Ganti pin condition : EDC serial port already open
20201021 11:01:35 Ganti pin condition : EDC serial port already open
20201021 11:01:35 Ganti pin condition : EDC serial port already open
20201021 11:01:35 Ganti pin condition : EDC serial port already open
20201021 11:01:36 Ganti pin condition : EDC serial port already open
20201021 11:01:36 Ganti pin condition : EDC serial port already open
20201021 11:01:36 Ganti pin condition : EDC serial port already open
20201021 11:01:36 Ganti pin condition : EDC serial port already open
20201021 11:01:36 Ganti pin condition : EDC serial port already open
20201021 11:01:36 Ganti pin condition : EDC serial port already open
20201021 11:01:36 Ganti pin condition : EDC serial port already open
20201021 11:01:37 Ganti pin condition : EDC serial port already open
20201021 11:01:37 Ganti pin condition : EDC serial port already open
20201021 11:01:37 Ganti pin condition : EDC serial port already open
20201021 11:01:37 Ganti pin condition : EDC serial port already open
20201021 11:01:37 Ganti pin condition : EDC serial port already open
20201021 11:01:37 Ganti pin condition : EDC serial port already open
20201021 11:01:38 Ganti pin condition : EDC serial port already open
20201021 11:01:38 Ganti pin condition : EDC serial port already open
20201021 11:01:38 Ganti pin condition : EDC serial port already open
20201021 11:01:38 Ganti pin condition : EDC serial port already open
20201021 11:01:38 Ganti pin condition : EDC serial port already open
20201021 11:01:38 Ganti pin condition : EDC serial port already open
20201021 11:01:39 Ganti pin condition : EDC serial port already open
20201021 11:01:39 Ganti pin condition : EDC serial port already open
20201021 11:01:39 Ganti pin condition : EDC serial port already open
20201021 11:01:39 Ganti pin condition : EDC serial port already open
20201021 11:01:39 Ganti pin condition : EDC serial port already open
20201021 11:01:39 Ganti pin condition : EDC serial port already open
20201021 11:01:39 Ganti pin condition : EDC serial port already open
20201021 11:01:40 Ganti pin condition : EDC serial port already open
20201021 11:01:40 Ganti pin condition : EDC serial port already open
20201021 11:01:40 Ganti pin condition : EDC serial port already open
20201021 11:01:40 Ganti pin condition : EDC serial port already open
20201021 11:01:40 Ganti pin condition : EDC serial port already open
20201021 11:01:40 Ganti pin condition : EDC serial port already open
20201021 11:01:41 Ganti pin condition : EDC serial port already open
20201021 11:01:41 Ganti pin condition : EDC serial port already open
20201021 11:01:41 Ganti pin condition : EDC serial port already open
20201021 11:01:41 Ganti pin condition : EDC serial port already open
20201021 11:01:41 Ganti pin condition : EDC serial port already open
20201021 11:01:41 Ganti pin condition : EDC serial port already open
20201021 11:01:42 Ganti pin condition : EDC serial port already open
20201021 11:01:42 Ganti pin condition : EDC serial port already open
20201021 11:01:42 Ganti pin condition : EDC serial port already open
20201021 11:01:42 Ganti pin condition : EDC serial port already open
20201021 11:01:42 Ganti pin condition : EDC serial port already open
20201021 11:01:42 Ganti pin condition : EDC serial port already open
20201021 11:01:42 Ganti pin condition : EDC serial port already open
20201021 11:01:43 Ganti pin condition : EDC serial port already open
20201021 11:01:43 Ganti pin condition : EDC serial port already open
20201021 11:01:43 Ganti pin condition : EDC serial port already open
20201021 11:01:43 Ganti pin condition : EDC serial port already open
20201021 11:01:43 Ganti pin condition : EDC serial port already open
20201021 11:01:43 Ganti pin condition : EDC serial port already open
20201021 11:01:44 Ganti pin condition : EDC serial port already open
20201021 11:01:44 Ganti pin condition : EDC serial port already open
20201021 11:01:44 Ganti pin condition : EDC serial port already open
20201021 11:01:44 Ganti pin condition : EDC serial port already open
20201021 11:01:44 Ganti pin condition : EDC serial port already open
20201021 11:01:44 Ganti pin condition : EDC serial port already open
20201021 11:01:45 Ganti pin condition : EDC serial port already open
20201021 11:01:45 Ganti pin condition : EDC serial port already open
20201021 11:01:45 Ganti pin condition : EDC serial port already open
20201021 11:01:45 Ganti pin condition : EDC serial port already open
20201021 11:01:45 Ganti pin condition : EDC serial port already open
20201021 11:01:45 Ganti pin condition : EDC serial port already open
20201021 11:01:45 Ganti pin condition : EDC serial port already open
20201021 11:01:46 Ganti pin condition : EDC serial port already open
20201021 11:01:46 Ganti pin condition : EDC serial port already open
20201021 11:01:46 Ganti pin condition : EDC serial port already open
20201021 11:01:46 Ganti pin condition : EDC serial port already open
20201021 11:01:46 Ganti pin condition : EDC serial port already open
20201021 11:01:46 Ganti pin condition : EDC serial port already open
20201021 11:01:47 Ganti pin condition : EDC serial port already open
20201021 11:01:47 Ganti pin condition : EDC serial port already open
20201021 11:01:47 Ganti pin condition : EDC serial port already open
20201021 11:01:47 Ganti pin condition : EDC serial port already open
20201021 11:01:47 Ganti pin condition : EDC serial port already open
20201021 11:01:47 Ganti pin condition : EDC serial port already open
20201021 11:01:48 Ganti pin condition : EDC serial port already open
20201021 11:01:48 Ganti pin condition : EDC serial port already open
20201021 11:01:48 Ganti pin condition : EDC serial port already open
20201021 11:01:48 Ganti pin condition : EDC serial port already open
20201021 11:01:48 Ganti pin condition : EDC serial port already open
20201021 11:01:48 Ganti pin condition : EDC serial port already open
20201021 11:01:48 Ganti pin condition : EDC serial port already open
20201021 11:01:49 Ganti pin condition : EDC serial port already open
20201021 11:01:49 Ganti pin condition : EDC serial port already open
20201021 11:01:49 Ganti pin condition : EDC serial port already open
20201021 11:01:49 Ganti pin condition : EDC serial port already open
20201021 11:01:49 Ganti pin condition : EDC serial port already open
20201021 11:01:49 Ganti pin condition : EDC serial port already open
20201021 11:01:50 Ganti pin condition : EDC serial port already open
20201021 11:01:50 Ganti pin condition : EDC serial port already open
20201021 11:01:50 Ganti pin condition : EDC serial port already open
20201021 11:01:50 Ganti pin condition : EDC serial port already open
20201021 11:01:50 Ganti pin condition : EDC serial port already open
20201021 11:01:50 Ganti pin condition : EDC serial port already open
20201021 11:01:51 Ganti pin condition : EDC serial port already open
20201021 11:01:51 Ganti pin condition : EDC serial port already open
20201021 11:01:51 Ganti pin condition : EDC serial port already open
20201021 11:01:51 Ganti pin condition : EDC serial port already open
20201021 11:01:51 Ganti pin condition : EDC serial port already open
20201021 11:01:51 Ganti pin condition : EDC serial port already open
20201021 11:01:51 Ganti pin condition : EDC serial port already open
20201021 11:01:52 Ganti pin condition : EDC serial port already open
20201021 11:01:52 Ganti pin condition : EDC serial port already open
20201021 11:01:52 Ganti pin condition : EDC serial port already open
20201021 11:01:52 Ganti pin condition : EDC serial port already open
20201021 11:01:52 Ganti pin condition : EDC serial port already open
20201021 11:01:52 Ganti pin condition : EDC serial port already open
20201021 11:01:53 Ganti pin condition : EDC serial port already open
20201021 11:01:53 Ganti pin condition : EDC serial port already open
20201021 11:01:53 Ganti pin condition : EDC serial port already open
20201021 11:01:53 Ganti pin condition : EDC serial port already open
20201021 11:01:53 Ganti pin condition : EDC serial port already open
20201021 11:01:53 Ganti pin condition : EDC serial port already open
20201021 11:01:53 Ganti pin condition : EDC serial port already open
20201021 11:01:54 Ganti pin condition : EDC serial port already open
20201021 11:01:54 Ganti pin condition : EDC serial port already open
20201021 11:01:54 Ganti pin condition : EDC serial port already open
20201021 11:01:54 Ganti pin condition : EDC serial port already open
20201021 11:01:54 Ganti pin condition : EDC serial port already open
20201021 11:01:54 Ganti pin condition : EDC serial port already open
20201021 11:01:55 Ganti pin condition : EDC serial port already open
20201021 11:01:55 Ganti pin condition : EDC serial port already open
20201021 11:01:55 Ganti pin condition : EDC serial port already open
20201021 11:01:55 Ganti pin condition : EDC serial port already open
